"table","distribution","heterogeneity","test","log_time_shift","task_id","paper_value","paper_printed_value","paper_n_sim","paper_page","z_low","z_high","n_sim","treatment_time_multiplier","empirical_rejection","monte_carlo_se","mean_z","sd_z","mean_completed_events","generator_version","input_file","available","variance_method","design_eligible","estimate","local_mc_se","paper_mc_se","difference","combined_mc_se","comparison_margin","comparison","rejection_ci_low","rejection_ci_high","nominal_p","nominal_p_holm"
"table3","loglogistic","low","logrank",0.5,64,0.828,0.828,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00377380444644393,,,,"missing",,,,
"table3","exponential","medium","logrank",0.5,65,0.519,0.519,10000,95,0.1,1.9,10000,1.64872127070013,0.6914,0.00461915620000017,-2.48193493139372,1.04114069134759,2.166237,"legacy_unversioned","zhao-2020-table-simulations-task-065-of-120.rds",TRUE,"pooled_risk",TRUE,0.6914,0.00461915620000017,0.00499638869584823,0.1724,0.00680444736918436,0.0138364717782997,"discrepant",0.682274562943544,0.700378442480161,,
"table3","weibull","medium","logrank",0.5,66,0.786,0.786,10000,95,0.1,1.9,10000,1.64872127070013,0.956,0.00205095099892708,-3.7879881581311,1.0784540335501,2.113352,"legacy_unversioned","zhao-2020-table-simulations-task-066-of-120.rds",TRUE,"pooled_risk",TRUE,0.956,0.00205095099892708,0.00410126809657696,0.17,0.00458549888234639,0.0094874126605476,"discrepant",0.951802065822492,0.959847727663451,,
"table3","lognormal","medium","logrank",0.5,67,0.869,0.869,10000,95,0.1,1.9,10000,1.64872127070013,0.9573,0.00202179895142915,-3.71172948308779,1.04131150242654,1.582318,"legacy_unversioned","zhao-2020-table-simulations-task-067-of-120.rds",TRUE,"pooled_risk",TRUE,0.9573,0.00202179895142915,0.00337400355660749,0.0883,0.00393339179335087,0.00820930625205312,"discrepant",0.95315861562209,0.961090179468089,,
"table3","loglogistic","medium","logrank",0.5,68,0.695,0.695,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00460407428263272,,,,"missing",,,,
"table3","exponential","high","logrank",0.5,69,0.478,0.478,10000,95,0.01,1.99,10000,1.64872127070013,0.6408,0.00479765942934677,-2.34237792873853,1.02719718359965,3.533976,"legacy_unversioned","zhao-2020-table-simulations-task-069-of-120.rds",TRUE,"pooled_risk",TRUE,0.6408,0.00479765942934677,0.00499515765516965,0.1628,0.00692597545476448,0.0140746624491468,"discrepant",0.631344343459171,0.650147522599647,,
"table3","weibull","high","logrank",0.5,70,0.71,0.71,10000,95,0.01,1.99,10000,1.64872127070013,0.9273,0.002596434285708,-3.50788110312545,1.07020431627268,3.663818,"legacy_unversioned","zhao-2020-table-simulations-task-070-of-120.rds",TRUE,"pooled_risk",TRUE,0.9273,0.002596434285708,0.00453762052181537,0.2173,0.00522795093703068,0.0107465955495226,"discrepant",0.922045331884742,0.932226503107678,,
"table3","lognormal","high","logrank",0.5,71,0.8,0.8,10000,95,0.01,1.99,10000,1.64872127070013,0.9223,0.00267698916695604,-3.43950664570015,1.04577720867022,2.788739,"legacy_unversioned","zhao-2020-table-simulations-task-071-of-120.rds",TRUE,"pooled_risk",TRUE,0.9223,0.00267698916695604,0.004,0.1223,0.0048131352567739,0.0099335717559968,"discrepant",0.916889536757489,0.927386138218638,,
"table3","loglogistic","high","logrank",0.5,72,0.614,0.614,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00486830566008339,,,,"missing",,,,
"table3","exponential","low","peto_prentice",0.25,73,0.207,0.207,10000,95,0.5,1.5,10000,1.28402541668774,0.3172,0.00465386033309982,-1.47803865598714,1.01340964025095,1.6119615,"legacy_unversioned","zhao-2020-table-simulations-task-073-of-120.rds",TRUE,"pooled_risk",TRUE,0.3172,0.00465386033309982,0.00405155525693529,0.1102,0.0061703740567327,0.0125937109223364,"discrepant",0.308150277584626,0.326390112219693,,
"table3","weibull","low","peto_prentice",0.25,74,0.454,0.454,10000,95,0.5,1.5,10000,1.28402541668774,0.7326,0.00442602801617884,-2.57099324775955,0.988613451773792,1.4803985,"legacy_unversioned","zhao-2020-table-simulations-task-074-of-120.rds",TRUE,"pooled_risk",TRUE,0.7326,0.00442602801617884,0.0049787950349457,0.2786,0.00666169077637202,0.0135566739978318,"discrepant",0.723837032303733,0.741184331654228,,
"table3","lognormal","low","peto_prentice",0.25,75,0.645,0.645,10000,95,0.5,1.5,10000,1.28402541668774,0.7904,0.00407023144305087,-2.73805326886002,0.969994742910338,1.08564,"legacy_unversioned","zhao-2020-table-simulations-task-075-of-120.rds",TRUE,"pooled_risk",TRUE,0.7904,0.00407023144305087,0.00478513322698543,0.1454,0.00628206048999848,0.0128126123090991,"discrepant",0.782311732156419,0.798265241589891,,
"table3","loglogistic","low","peto_prentice",0.25,76,0.334,0.334,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00471639692986076,,,,"missing",,,,
"table3","exponential","medium","peto_prentice",0.25,77,0.18,0.18,10000,95,0.1,1.9,10000,1.28402541668774,0.2462,0.00430796425240507,-1.27542466937519,1.00576657861902,2.398277,"legacy_unversioned","zhao-2020-table-simulations-task-077-of-120.rds",TRUE,"pooled_risk",TRUE,0.2462,0.00430796425240507,0.00384187454245971,0.0662,0.00577222279542292,0.01181334878977,"discrepant",0.237855062747665,0.254739854825291,,
"table3","weibull","medium","peto_prentice",0.25,78,0.287,0.287,10000,95,0.1,1.9,10000,1.28402541668774,0.441,0.00496506797536549,-1.8102348961851,0.992943743932406,2.3670915,"legacy_unversioned","zhao-2020-table-simulations-task-078-of-120.rds",TRUE,"pooled_risk",TRUE,0.441,0.00496506797536549,0.00452361581038885,0.154,0.00671677005710334,0.0136646274043596,"discrepant",0.431293143704854,0.450752168102886,,
"table3","lognormal","medium","peto_prentice",0.25,79,0.36,0.36,10000,95,0.1,1.9,10000,1.28402541668774,0.4557,0.00498033643441886,-1.84502469655078,1.00455831694691,1.78034,"legacy_unversioned","zhao-2020-table-simulations-task-079-of-120.rds",TRUE,"pooled_risk",TRUE,0.4557,0.00498033643441886,0.0048,0.0957,0.00691691773841499,0.0140569096513196,"discrepant",0.445957590597628,0.465476431658014,,
"table3","loglogistic","medium","peto_prentice",0.25,80,0.247,0.247,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.0043126673880558,,,,"missing",,,,
"table3","exponential","high","peto_prentice",0.25,81,0.165,0.165,10000,95,0.01,1.99,10000,1.28402541668774,0.2114,0.00408301408275798,-1.17555726501951,0.99497352225308,3.9210845,"legacy_unversioned","zhao-2020-table-simulations-task-081-of-120.rds",TRUE,"pooled_risk",TRUE,0.2114,0.00408301408275798,0.00371180549059349,0.0464,0.00551801631023323,0.0113151132341617,"discrepant",0.20350903055312,0.219512613306435,,
"table3","weibull","high","peto_prentice",0.25,82,0.242,0.242,10000,95,0.01,1.99,10000,1.28402541668774,0.363,0.00480864845876677,-1.61716248833041,1.00206077626362,4.0978795,"legacy_unversioned","zhao-2020-table-simulations-task-082-of-120.rds",TRUE,"pooled_risk",TRUE,0.363,0.00480864845876677,0.00428294291346499,0.121,0.00643946426343061,0.0131211180360567,"discrepant",0.353629492855054,0.372475722698511,,
"table3","lognormal","high","peto_prentice",0.25,83,0.293,0.293,10000,95,0.01,1.99,10000,1.28402541668774,0.3825,0.00485997685179672,-1.66237584096244,0.997783264335634,3.1159505,"legacy_unversioned","zhao-2020-table-simulations-task-083-of-120.rds",TRUE,"pooled_risk",TRUE,0.3825,0.00485997685179672,0.0045513844047718,0.0895,0.00665841385015981,0.0135502513404759,"discrepant",0.373021462372405,0.392068777244704,,
"table3","loglogistic","high","peto_prentice",0.25,84,0.212,0.212,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00408724846320847,,,,"missing",,,,
"table3","exponential","low","peto_prentice",0.5,85,0.595,0.595,10000,95,0.5,1.5,10000,1.64872127070013,0.8111,0.00391429163451064,-2.81476750186397,0.98328249009461,1.4542305,"legacy_unversioned","zhao-2020-table-simulations-task-085-of-120.rds",TRUE,"pooled_risk",TRUE,0.8111,0.00391429163451064,0.00490892045158607,0.2161,0.00627846947910078,0.0128055740570715,"discrepant",0.803309210394928,0.818651865818837,,
"table3","weibull","low","peto_prentice",0.5,86,0.948,0.948,10000,95,0.5,1.5,10000,1.64872127070013,0.999,0.000316069612585582,-4.8380857282827,0.935782956435968,1.309606,"legacy_unversioned","zhao-2020-table-simulations-task-086-of-120.rds",TRUE,"pooled_risk",TRUE,0.999,0.000316069612585582,0.00222027025382047,0.051,0.00224265467693981,0.00489552239656234,"discrepant",0.998160055612562,0.999456714013503,,
"table3","lognormal","low","peto_prentice",0.5,87,0.992,0.992,10000,95,0.5,1.5,10000,1.64872127070013,0.9996,0.000199959995999189,-5.05270178715434,0.91305036499862,0.9524465,"legacy_unversioned","zhao-2020-table-simulations-task-087-of-120.rds",TRUE,"pooled_risk",TRUE,0.9996,0.000199959995999189,0.000890842298052804,0.00760000000000005,0.000913008214639932,0.00228946321828348,"discrepant",0.998971871664643,0.999844437163377,,
"table3","loglogistic","low","peto_prentice",0.5,88,0.846,0.846,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00360948749824681,,,,"missing",,,,
"table3","exponential","medium","peto_prentice",0.5,89,0.521,0.521,10000,95,0.1,1.9,10000,1.64872127070013,0.6996,0.00458431936060305,-2.47965872686862,0.99781538743937,2.166558,"legacy_unversioned","zhao-2020-table-simulations-task-089-of-120.rds",TRUE,"pooled_risk",TRUE,0.6996,0.00458431936060305,0.00499558805347278,0.1786,0.00678025692728528,0.0137890593834074,"discrepant",0.690539651416646,0.70850705643378,,
